"pk","author","year","title","record","citation"
"andre2011evolution","Jean-Baptiste André; Nicolas Baumard","2011","The evolution of fairness in a biological market","@Article{andre2011evolution,
  title = {The evolution of fairness in a biological market},
  author = {Jean-Baptiste André and Nicolas Baumard},
  journal = {Evolution: International Journal of Organic Evolution},
  volume = {65},
  number = {5},
  pages = {1447--1456},
  year = {2011},
  publisher = {Wiley Online Library},
}","André & Baumard (2011)"
"engel2011dictator","Christoph Engel","2011","Dictator games: A meta study","@Article{engel2011dictator,
  title = {Dictator games: A meta study},
  author = {Christoph Engel},
  journal = {Experimental economics},
  volume = {14},
  number = {4},
  pages = {583--610},
  year = {2011},
  publisher = {Springer},
}","Engel (2011)"
"treas2011happy","Judith Treas; Tanja van der Lippe; Tsui-o Chloe Tai","2011","The happy homemaker? Married women's well-being in cross-national perspective","@Article{treas2011happy,
  title = {The happy homemaker? Married women's well-being in cross-national perspective},
  author = {Judith Treas and Tanja {van der Lippe} and Tsui-o Chloe Tai},
  journal = {Social forces},
  volume = {90},
  number = {1},
  pages = {111--132},
  year = {2011},
  publisher = {The University of North Carolina Press},
}","Treas, van der Lippe & Tai (2011)"
"baumard2013mutualistic","Nicolas Baumard; Jean-Baptiste André; Dan Sperber","2013","A mutualistic approach to morality: The evolution of fairness by partner choice","@Article{baumard2013mutualistic,
  title = {A mutualistic approach to morality: The evolution of fairness by partner choice},
  author = {Nicolas Baumard and Jean-Baptiste André and Dan Sperber},
  journal = {Behavioral and Brain Sciences},
  volume = {36},
  number = {1},
  pages = {59--78},
  year = {2013},
  publisher = {Cambridge University Press},
}","Baumard, André & Sperber (2013)"
"chaudhary2015polygyny","Nikhil Chaudhary; Gul Deniz Salali; James Thompson; Mark Dyble; Abigail Page; Daniel Smith; Ruth Mace; Andrea Bamberg Migliano","2015","Polygyny without wealth: popularity in gift games predicts polygyny in BaYaka Pygmies","@Article{chaudhary2015polygyny,
  title = {Polygyny without wealth: popularity in gift games predicts polygyny in BaYaka Pygmies},
  author = {Nikhil Chaudhary and Gul Deniz Salali and James Thompson and Mark Dyble and Abigail Page and Daniel Smith and Ruth Mace and Andrea Bamberg Migliano},
  journal = {Royal Society open science},
  volume = {2},
  number = {5},
  pages = {150054},
  year = {2015},
  publisher = {The Royal Society Publishing},
}","Chaudhary, Salali, Thompson, Dyble et al. (2015)"
"carriero2016housework","Renzo Carriero; Lorenzo Todesco","2016","Housework division and perceived fairness: The importance of comparison referents","@Article{carriero2016housework,
  title = {Housework division and perceived fairness: The importance of comparison referents},
  author = {Renzo Carriero and Lorenzo Todesco},
  journal = {Sociological Research Online},
  volume = {21},
  number = {1},
  pages = {116--131},
  year = {2016},
  publisher = {SAGE Publications Sage UK: London, England},
}","Carriero & Todesco (2016)"
"chaudhary2016competition","Nikhil Chaudhary; Gul Deniz Salali; James Thompson; Aude Rey; Pascale Gerbault; Edward Geoffrey Jedediah Stevenson; Mark Dyble; Abigail E Page; Daniel Smith; Ruth Mace; others","2016","Competition for Cooperation: variability, benefits and heritability of relational wealth in hunter-gatherers","@Article{chaudhary2016competition,
  title = {Competition for Cooperation: variability, benefits and heritability of relational wealth in hunter-gatherers},
  author = {Nikhil Chaudhary and Gul Deniz Salali and James Thompson and Aude Rey and Pascale Gerbault and Edward Geoffrey Jedediah Stevenson and Mark Dyble and Abigail E Page and Daniel Smith and Ruth Mace and others},
  journal = {Scientific reports},
  volume = {6},
  pages = {29120},
  year = {2016},
  publisher = {Nature Publishing Group},
}","Chaudhary, Salali, Thompson, Rey et al. (2016)"
"dyble2016networks","Mark Dyble; James Thompson; Daniel Smith; Gul Deniz Salali; Nikhil Chaudhary; Abigail E Page; Lucio Vinicuis; Ruth Mace; Andrea Bamberg Migliano","2016","Networks of food sharing reveal the functional significance of multilevel sociality in two hunter-gatherer groups","@Article{dyble2016networks,
  title = {Networks of food sharing reveal the functional significance of multilevel sociality in two hunter-gatherer groups},
  author = {Mark Dyble and James Thompson and Daniel Smith and Gul Deniz Salali and Nikhil Chaudhary and Abigail E Page and Lucio Vinicuis and Ruth Mace and Andrea Bamberg Migliano},
  journal = {Current Biology},
  volume = {26},
  number = {15},
  pages = {2017--2021},
  year = {2016},
  publisher = {Elsevier},
}","Dyble, Thompson, Smith, Salali et al. (2016)"
"jansen2016perceived","Lisanne Jansen; Tijmen Weber; Gerbert Kraaykamp; Ellen Verbakel","2016","Perceived fairness of the division of household labor: A comparative study in 29 countries","@Article{jansen2016perceived,
  title = {Perceived fairness of the division of household labor: A comparative study in 29 countries},
  author = {Lisanne Jansen and Tijmen Weber and Gerbert Kraaykamp and Ellen Verbakel},
  journal = {International Journal of Comparative Sociology},
  volume = {57},
  number = {1-2},
  pages = {53--68},
  year = {2016},
  publisher = {SAGE Publications Sage UK: London, England},
}","Jansen, Weber, Kraaykamp & Verbakel (2016)"
"smith2016camp","Daniel Smith; Mark Dyble; James Thompson; Katie Major; Abigail E Page; Nikhil Chaudhary; Gul Deniz Salali; Lucio Vinicius; Andrea Bamberg Migliano; Ruth Mace","2016","Camp stability predicts patterns of hunter--gatherer cooperation","@Article{smith2016camp,
  title = {Camp stability predicts patterns of hunter--gatherer cooperation},
  author = {Daniel Smith and Mark Dyble and James Thompson and Katie Major and Abigail E Page and Nikhil Chaudhary and Gul Deniz Salali and Lucio Vinicius and Andrea Bamberg Migliano and Ruth Mace},
  journal = {Royal Society open science},
  volume = {3},
  number = {7},
  pages = {160131},
  year = {2016},
  publisher = {The Royal Society},
}","Smith, Dyble, Thompson, Major et al. (2016)"
"hu2018fairness","Yang Hu; Deniz Yucel","2018","What fairness? Gendered division of housework and family life satisfaction across 30 countries","@Article{hu2018fairness,
  title = {What fairness? Gendered division of housework and family life satisfaction across 30 countries},
  author = {Yang Hu and Deniz Yucel},
  journal = {European Sociological Review},
  volume = {34},
  number = {1},
  pages = {92--105},
  year = {2018},
  publisher = {Oxford University Press},
}","Hu & Yucel (2018)"
"dyble2019engagement","Mark Dyble; Jack Thorley; Abigail E Page; Daniel Smith; Andrea Bamberg Migliano","2019","Engagement in agricultural work is associated with reduced leisure time among Agta hunter-gatherers","@Article{dyble2019engagement,
  title = {Engagement in agricultural work is associated with reduced leisure time among Agta hunter-gatherers},
  author = {Mark Dyble and Jack Thorley and Abigail E Page and Daniel Smith and Andrea Bamberg Migliano},
  journal = {Nature human behaviour},
  volume = {3},
  number = {8},
  pages = {792--796},
  year = {2019},
  publisher = {Nature Publishing Group},
}","Dyble, Thorley, Page, Smith et al. (2019)"
"huppert2019development","Elizabeth Huppert; Jason M Cowell; Yawei Cheng; Carlos Contreras-Ibáñez; Natalia Gomez-Sicard; Maria Luz Gonzalez-Gadea; David Huepe; Agustin Ibanez; Kang Lee; Randa Mahasneh; others","2019","The development of children's preferences for equality and equity across 13 individualistic and collectivist cultures","@Article{huppert2019development,
  title = {The development of children's preferences for equality and equity across 13 individualistic and collectivist cultures},
  author = {Elizabeth Huppert and Jason M Cowell and Yawei Cheng and Carlos Contreras-Ibá{ñ}ez and Natalia Gomez-Sicard and Maria Luz Gonzalez-Gadea and David Huepe and Agustin Ibanez and Kang Lee and Randa Mahasneh and others},
  journal = {Developmental science},
  volume = {22},
  number = {2},
  pages = {e12729},
  year = {2019},
  publisher = {Wiley Online Library},
}","Huppert, Cowell, Cheng, Contreras-Ibáñez et al. (2019)"
"larney2019stake","Andrea Larney; Amanda Rotella; Pat Barclay","2019","Stake size effects in ultimatum game and dictator game offers: A meta-analysis","@Article{larney2019stake,
  title = {Stake size effects in ultimatum game and dictator game offers: A meta-analysis},
  author = {Andrea Larney and Amanda Rotella and Pat Barclay},
  journal = {Organizational Behavior and Human Decision Processes},
  volume = {151},
  pages = {61--72},
  year = {2019},
  publisher = {Elsevier},
}","Larney, Rotella & Barclay (2019)"
"smith2019friend","Daniel Smith; Mark Dyble; Katie Major; Abigail E Page; Nikhil Chaudhary; Gul Deniz Salali; James Thompson; Lucio Vinicius; Andrea Bamberg Migliano; Ruth Mace","2019","A friend in need is a friend indeed: Need-based sharing, rather than cooperative assortment, predicts experimental resource transfers among Agta hunter-gatherers","@Article{smith2019friend,
  title = {A friend in need is a friend indeed: Need-based sharing, rather than cooperative assortment, predicts experimental resource transfers among Agta hunter-gatherers},
  author = {Daniel Smith and Mark Dyble and Katie Major and Abigail E Page and Nikhil Chaudhary and Gul Deniz Salali and James Thompson and Lucio Vinicius and Andrea Bamberg Migliano and Ruth Mace},
  journal = {Evolution and human behavior},
  volume = {40},
  number = {1},
  pages = {82--89},
  year = {2019},
  publisher = {Elsevier},
}","Smith, Dyble, Major, Page et al. (2019)"
"aina2020frustration","Chiara Aina; Pierpaolo Battigalli; Astrid Gamba","2020","Frustration and anger in the ultimatum game: An Experiment","@Article{aina2020frustration,
  title = {Frustration and anger in the ultimatum game: An Experiment},
  author = {Chiara Aina and Pierpaolo Battigalli and Astrid Gamba},
  journal = {Games and Economic Behavior},
  year = {2020},
  publisher = {Elsevier},
}","Aina, Battigalli & Gamba (2020)"
"carriero2020role","Renzo Carriero","2020","The role of culture in the gendered division of domestic labor: Evidence from migrant populations in Europe","@Article{carriero2020role,
  title = {The role of culture in the gendered division of domestic labor: Evidence from migrant populations in Europe},
  author = {Renzo Carriero},
  journal = {Acta Sociologica},
  pages = {0001699320930073},
  year = {2020},
  publisher = {SAGE Publications Sage UK: London, England},
}","Carriero (2020)"
"hwang2020paid","Woosang Hwang; Eunjoo Jung; Andrea V Shaw; Renee Mestad; Sandra D Lane","2020","Paid Leave and Maternal Depressive Symptoms After Childbirth: The Moderating Role of Perceived Fairness of the Division of Household Labor","@Article{hwang2020paid,
  title = {Paid Leave and Maternal Depressive Symptoms After Childbirth: The Moderating Role of Perceived Fairness of the Division of Household Labor},
  author = {Woosang Hwang and Eunjoo Jung and Andrea V Shaw and Renee Mestad and Sandra D Lane},
  journal = {Families in Society},
  pages = {1044389420913124},
  year = {2020},
  publisher = {SAGE Publications Sage CA: Los Angeles, CA},
}","Hwang, Jung, Shaw, Mestad et al. (2020)"
